['ibukota pindah kaltim gedung perintah sulap utk penting warga mantap', 'pos']
['terowongan silaturrahmi istiqlal katedral bkn janji kampanye sm persis dgn pindah kota janji kampanye lups cc', 'neg']
['yg gak dll salah beliau sdh dukung program perintah pusat pindah ibukota buktinyabeliau sdh kerja menengelamkan kota dgn', 'neg']
['joko iki mumet kakehan polah duit gak gegayaan kemana2 ngomong pindah kota kere macak sugih', 'neg']
['tjahjo kumolo ancam pecat pns pindah kota', 'neg']
['pindah ibukota negara butuh biaya rp 460 triliun sumber biaya ketua bakn ri dapil lampung ii', 'neg']
['ngurus pindah kota problem beton senti glorifikasi gilir problem disalahin perintah daerah perkara nutrisi aje dana aja ngutang world bank pokok', 'neg']
['yg bahas muka plastik plastik gak bahas karya muter2 situ aja argumen sampe kota udah pindah', 'neg']
['to ngotot pindah ibukota negaraibu kota pindah investor incar gedung dpr senayan', 'neg']
['suruh buru buru pindah kota aja urusin biar ceper dki biar urus gurbernur indonesia aja', 'neg']
['indonesia sibuk pusing pindah kota yg urgent yg tangan cepat', 'neg']
['urgensi pindah kota jawab logika tawar ngawur alur solusi logis target dana fantastis', 'neg']
['butuh dana tambah dana nutupin lubang ntah buru2 pindah kota negara hutang gunung korupsi beberapa bumn dll moga perintah pintar nentuin prioritas option', 'neg']
